CMDLINE /home/nitish/env2/bin/python3 logp_benchmarks.py
MEM 1.546875 1582454326.7954
MEM 20.589844 1582454326.8957
MEM 30.550781 1582454326.9959
MEM 38.765625 1582454327.0962
MEM 51.265625 1582454327.1966
MEM 65.226562 1582454327.2969
MEM 85.960938 1582454327.3972
MEM 101.117188 1582454327.4975
MEM 108.343750 1582454327.5977
MEM 126.492188 1582454327.6980
MEM 136.812500 1582454327.7983
MEM 164.589844 1582454327.8986
MEM 192.359375 1582454327.9989
MEM 201.378906 1582454328.0992
MEM 210.332031 1582454328.1996
MEM 213.242188 1582454328.2998
MEM 213.242188 1582454328.4002
MEM 215.312500 1582454328.5005
MEM 236.246094 1582454328.6007
MEM 244.484375 1582454328.7010
MEM 248.617188 1582454328.8013
MEM 248.617188 1582454328.9016
MEM 248.617188 1582454329.0019
MEM 248.617188 1582454329.1023
MEM 249.167969 1582454329.2026
MEM 249.722656 1582454329.3029
MEM 250.941406 1582454329.4032
MEM 250.941406 1582454329.5036
MEM 250.941406 1582454329.6040
MEM 250.941406 1582454329.7043
MEM 250.941406 1582454329.8046
MEM 253.457031 1582454329.9049
MEM 255.265625 1582454330.0052
MEM 255.265625 1582454330.1055
MEM 255.265625 1582454330.2058
MEM 255.265625 1582454330.3062
MEM 258.011719 1582454330.4065
MEM 259.007812 1582454330.5068
MEM 262.718750 1582454330.6071
MEM 263.187500 1582454330.7074
MEM 263.589844 1582454330.8076
MEM 265.597656 1582454330.9079
MEM 266.750000 1582454331.0082
MEM 267.324219 1582454331.1084
MEM 267.460938 1582454331.2088
MEM 267.460938 1582454331.3091
MEM 267.460938 1582454331.4097
MEM 267.460938 1582454331.5101
MEM 267.828125 1582454331.6105
MEM 269.398438 1582454331.7108
MEM 270.515625 1582454331.8110
MEM 272.230469 1582454331.9114
MEM 272.230469 1582454332.0119
MEM 272.230469 1582454332.1123
MEM 272.230469 1582454332.2126
MEM 272.464844 1582454332.3130
MEM 272.675781 1582454332.4133
MEM 272.679688 1582454332.5137
MEM 272.679688 1582454332.6141
MEM 272.679688 1582454332.7144
MEM 272.679688 1582454332.8148
MEM 272.679688 1582454332.9152
MEM 272.679688 1582454333.0156
MEM 272.679688 1582454333.1159
MEM 272.679688 1582454333.2163
MEM 272.679688 1582454333.3166
MEM 272.679688 1582454333.4170
MEM 272.679688 1582454333.5174
MEM 272.679688 1582454333.6177
MEM 272.679688 1582454333.7180
MEM 272.679688 1582454333.8184
MEM 272.679688 1582454333.9187
MEM 272.679688 1582454334.0190
MEM 272.679688 1582454334.1194
MEM 272.679688 1582454334.2197
MEM 272.679688 1582454334.3201
MEM 272.679688 1582454334.4204
MEM 272.679688 1582454334.5208
MEM 272.679688 1582454334.6213
MEM 272.679688 1582454334.7216
MEM 272.679688 1582454334.8220
MEM 272.679688 1582454334.9224
MEM 272.679688 1582454335.0228
MEM 272.679688 1582454335.1231
MEM 272.679688 1582454335.2235
MEM 272.679688 1582454335.3239
MEM 272.679688 1582454335.4242
MEM 272.679688 1582454335.5245
MEM 272.679688 1582454335.6249
MEM 272.679688 1582454335.7252
MEM 272.679688 1582454335.8256
MEM 272.679688 1582454335.9262
MEM 272.679688 1582454336.0266
MEM 272.679688 1582454336.1271
MEM 272.679688 1582454336.2275
MEM 272.679688 1582454336.3278
MEM 272.679688 1582454336.4282
MEM 272.679688 1582454336.5285
MEM 272.679688 1582454336.6289
MEM 272.679688 1582454336.7293
MEM 272.679688 1582454336.8297
MEM 272.804688 1582454336.9300
MEM 272.804688 1582454337.0304
MEM 272.804688 1582454337.1308
MEM 272.804688 1582454337.2312
MEM 272.804688 1582454337.3317
MEM 272.804688 1582454337.4320
MEM 272.804688 1582454337.5324
MEM 272.804688 1582454337.6328
MEM 272.804688 1582454337.7332
MEM 272.804688 1582454337.8335
MEM 272.804688 1582454337.9339
MEM 272.804688 1582454338.0343
MEM 272.804688 1582454338.1348
MEM 272.804688 1582454338.2351
MEM 272.804688 1582454338.3356
MEM 272.804688 1582454338.4360
MEM 272.804688 1582454338.5363
MEM 272.804688 1582454338.6367
MEM 272.804688 1582454338.7371
MEM 272.804688 1582454338.8374
MEM 272.804688 1582454338.9378
MEM 272.804688 1582454339.0381
MEM 272.804688 1582454339.1386
MEM 272.804688 1582454339.2389
MEM 272.804688 1582454339.3394
MEM 272.804688 1582454339.4397
MEM 272.804688 1582454339.5400
MEM 272.804688 1582454339.6403
MEM 272.804688 1582454339.7407
MEM 272.804688 1582454339.8410
MEM 272.804688 1582454339.9413
MEM 272.804688 1582454340.0416
MEM 272.804688 1582454340.1420
MEM 272.804688 1582454340.2423
MEM 272.804688 1582454340.3426
MEM 272.804688 1582454340.4429
MEM 272.804688 1582454340.5433
MEM 272.804688 1582454340.6436
